OpenCL_API,Timing
clGetPlatformIDs,19
clGetDeviceIDs,4866
clCreateContext,147
clCreateCommandQueue,19
clCreateBuffer,55
clEnqueueWriteBuffer,1087
clCreateProgramWithSource,313
clBuildProgram,1535896
clCreateKernel,718
clSetKernelArg,18
clEnqueueNDRangeKernel,4358174
clEnqueueReadBuffer,1051
total_time,5958601
