OpenCL_API,Timing
clGetPlatformIDs,0
clGetDeviceIDs,4829
clCreateContext,148
clCreateCommandQueue,18
clCreateProgramWithSource,295
clBuildProgram,1545408
clCreateKernel,682
clCreateBuffer,6414
clSetKernelArg,18
clEnqueueNDRangeKernel,4406392
clEnqueueReadBuffer,3281
total_time,5980499
