OpenCL_API,Timing
clGetPlatformIDs,18
clGetDeviceIDs,4885
clCreateContext,148
clCreateCommandQueue,18
clCreateBuffer,55
clEnqueueWriteBuffer,1106
clCreateProgramWithSource,332
clBuildProgram,1537869
clCreateKernel,847
clSetKernelArg,18
clEnqueueNDRangeKernel,4365141
clEnqueueReadBuffer,1050
total_time,5923524
