OpenCL_API,Timing
clGetPlatformIDs,0
clGetDeviceIDs,4848
clCreateContext,129
clCreateCommandQueue,18
clCreateProgramWithSource,295
clBuildProgram,1537187
clCreateKernel,682
clCreateBuffer,3225
clSetKernelArg,18
clEnqueueNDRangeKernel,4793062
clEnqueueReadBuffer,3502
total_time,6356607
