OpenCL_API,Timing
clGetPlatformIDs,19
clGetDeviceIDs,4884
clCreateContext,147
clCreateCommandQueue,19
clCreateBuffer,56
clEnqueueWriteBuffer,1087
clCreateProgramWithSource,314
clBuildProgram,is
clCreateKernel,682
clSetKernelArg,0
clEnqueueNDRangeKernel,4384293
clEnqueueReadBuffer,1051
total_time,5944722
