OpenCL_API,Timing
clGetPlatformIDs,19
clGetDeviceIDs,4885
clCreateContext,147
clCreateCommandQueue,19
clCreateBuffer,56
clEnqueueWriteBuffer,1106
clCreateProgramWithSource,313
clBuildProgram,1533592
clCreateKernel,774
clSetKernelArg,19
clEnqueueNDRangeKernel,4393139
clEnqueueReadBuffer,1088
total_time,5947284
