OpenCL_API,Timing
clGetPlatformIDs,18
clGetDeviceIDs,4792
clCreateContext,148
clCreateCommandQueue,18
clCreateBuffer,55
clEnqueueWriteBuffer,1180
clCreateProgramWithSource,350
clBuildProgram,1556596
clCreateKernel,700
clSetKernelArg,19
clEnqueueNDRangeKernel,4393950
clEnqueueReadBuffer,1069
total_time,6015261
