OpenCL_API,Timing
clGetPlatformIDs,18us
clGetDeviceIDs,4940
clCreateContext,148us
clCreateCommandQueue,18
clCreateBuffer,74
clEnqueueWriteBuffer,3263
clCreateProgramWithSource,313
clBuildProgram,1535896
clCreateKernel,682
clSetKernelArg,0
clEnqueueNDRangeKernel,4404272
clEnqueueReadBuffer,3428us
total_time,5966600
