OpenCL_API,Timing
clGetPlatformIDs,19
clGetDeviceIDs,4885
clCreateContext,147
clCreateCommandQueue,19
clCreateBuffer,55
clEnqueueWriteBuffer,3244
clCreateProgramWithSource,332
clBuildProgram,1534053
clCreateKernel,664
clSetKernelArg,18
clEnqueueNDRangeKernel,4424825
clEnqueueReadBuffer,3262
total_time,6055904
