OpenCL_API,Timing
clGetPlatformIDs,0us
clGetDeviceIDs,4848
clCreateContext,129
clCreateCommandQueue,18
clCreateProgramWithSource,277
clBuildProgram,1531215
clCreateKernel,663
clCreateBuffer,25787
clSetKernelArg,37
clEnqueueNDRangeKernel,4399923
clEnqueueReadBuffer,12921us
total_time,5992996
