OpenCL_API,Timing
clGetPlatformIDs,19
clGetDeviceIDs,4829
clCreateContext,129
clCreateCommandQueue,19
clCreateBuffer,55
clEnqueueWriteBuffer,3244
clCreateProgramWithSource,332
clBuildProgram,1538772
clCreateKernel,719
clSetKernelArg,19
clEnqueueNDRangeKernel,4437930
clEnqueueReadBuffer,3226
total_time,6002747
