OpenCL_API,Timing
clGetPlatformIDs,0
clGetDeviceIDs,4830
clCreateContext,147
clCreateCommandQueue,18
clCreateProgramWithSource,277
clBuildProgram,1557794
clCreateKernel,793
clCreateBuffer,9750
clSetKernelArg,19
clEnqueueNDRangeKernel,4786021
clEnqueueReadBuffer,9788us
total_time,6384956
