OpenCL_API,Timing
clGetPlatformIDs,3649
clGetDeviceIDs,2
clCreateContext,200469
clCreateCommandQueue,23
clCreateBuffer,25
clEnqueueWriteBuffer,228
clCreateProgramWithSource,21
clBuildProgram,1389
clCreateKernel,229
clSetKernelArg,3
clEnqueueNDRangeKernel,39
clEnqueueReadBuffer,152
total_time,207184
