OpenCL_API,Timing
clGetPlatformIDs,3728
clGetDeviceIDs,3
clCreateContext,240606
clCreateCommandQueue,21
clCreateBuffer,32
clEnqueueWriteBuffer,208
clCreateProgramWithSource,7
clBuildProgram,is
clCreateKernel,223
clSetKernelArg,2
clEnqueueNDRangeKernel,43
clEnqueueReadBuffer,152
total_time,246812
